B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,NDVI,cloud_percentage,date,previous_ndvi,previous_evi,ndvi_change,evi_change
0.1991,0.1962,0.0896,0.1142,0.1434,0.1439,0.157,0.1643,0.1854,0.1732,0.1756,0.0764303392051244,0.1277372262773723,0.000508,2024-02-28,0.1425885302413037,0.0830231369972994,-0.0148513039639313,-0.006592797792175
0.1989,0.1899,0.103,0.13,0.161,0.1569,0.1505,0.1788,0.2029,0.1753,0.1875,0.0750143225436837,0.1151415223962626,15.682623,2024-03-04,0.1277372262773723,0.0764303392051244,-0.0125957038811096,-0.0014160166614407
0.1978,0.1886,0.1112,0.1306,0.16,0.1527,0.1695,0.1747,0.2036,0.1697,0.1883,0.0819795427196149,0.1199119911991199,2.003109,2024-03-09,0.1151415223962626,0.0750143225436837,0.0047704688028572,0.0069652201759311
0.2044,0.1892,0.0722,0.1048,0.1368,0.147,0.1481,0.1588,0.1858,0.1675,0.1939,0.0836120401337792,0.1518908865468072,0.081241,2024-03-14,0.1199119911991199,0.0819795427196149,0.0319788953476873,0.0016324974141643
0.218,0.2116,0.1028,0.127,0.1656,0.1709,0.1709,0.1918,0.1976,0.1868,0.2051,0.056330094352908,0.0881057268722467,0.000362,2024-03-19,0.1518908865468072,0.0836120401337792,-0.0637851596745605,-0.0272819457808712
0.2302,0.2225,0.1208,0.1394,0.1682,0.1778,0.1677,0.1836,0.2122,0.1928,0.2128,0.0836247529268663,0.1156677181913774,0.000368,2024-04-08,0.0881057268722467,0.056330094352908,0.0275619913191307,0.0272946585739582
0.2451,0.2346,0.117,0.137,0.1739,0.1825,0.1845,0.2016,0.2164,0.2031,0.2249,0.076864645880055,0.1088905969766846,13.275427,2024-04-18,0.1156677181913774,0.0836247529268663,-0.0067771212146928,-0.0067601070468113
0.2314,0.2249,0.1018,0.122,0.1542,0.1623,0.1633,0.1748,0.1914,0.1868,0.2024,0.0687310620057645,0.1076388888888889,0.000348,2024-05-08,0.1088905969766846,0.076864645880055,-0.0012517080877957,-0.0081335838742904
0.2239,0.2145,0.1256,0.1422,0.1578,0.1697,0.1723,0.1864,0.19,0.1901,0.2065,0.0673752929360562,0.0925819436457734,3.504587,2024-05-13,0.1076388888888889,0.0687310620057645,-0.0150569452431154,-0.0013557690697083
0.2287,0.2258,0.1152,0.129,0.1636,0.1702,0.1729,0.1822,0.1962,0.1944,0.205,0.0620337950981885,0.0906058921623124,0.000355,2024-05-18,0.0925819436457734,0.0673752929360562,-0.001976051483461,-0.0053414978378677
