field_id,date,NDVI,EVI,TCG,previous_ndvi,previous_evi,ndvi_change,evi_change,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,cloud_percentage
field_1,2024-02-28,0.092503022974607,0.0582502093961775,-0.02841897,0.1031116534472239,0.0614523108250609,-0.0106086304726169,-0.0032021014288833,1024,1230,1501,1439,1570,1643,1807,1732,1756,1991,1962,0.000508
field_1,2024-03-04,0.1214165261382799,0.0804589138046636,-0.0194197799999999,0.092503022974607,0.0582502093961775,0.0289135031636729,0.0222087044084861,1060,1285,1563,1569,1505,1788,1995,1753,1875,1989,1899,15.682623
field_1,2024-03-09,0.0986651189785258,0.065017019160898,-0.0257873899999999,0.1214165261382799,0.0804589138046636,-0.0227514071597541,-0.0154418946437656,1085,1242,1553,1527,1695,1747,1893,1697,1883,1978,1886,2.003109
field_1,2024-03-14,0.1180358829084041,0.0650386763328592,-0.0118046499999999,0.0986651189785258,0.065017019160898,0.0193707639298783,2.1657171961272925e-05,769,1047,1401,1470,1481,1588,1776,1675,1939,2044,1892,0.081241
field_1,2024-03-19,0.0806582141893714,0.0563534245542613,-0.0356221999999999,0.1180358829084041,0.0650386763328592,-0.0373776687190327,-0.0086852517785978,1195,1407,1704,1709,1709,1918,2003,1868,2051,2180,2116,0.000362
field_1,2024-04-08,0.088683351468988,0.0618783691443322,-0.0339866399999999,0.0806582141893714,0.0563534245542613,0.0080251372796165,0.0055249445900708,1184,1373,1675,1778,1677,1836,2001,1928,2128,2302,2225,0.000368
field_1,2024-04-18,0.0839572192513369,0.0587025612263974,-0.0355627499999999,0.088683351468988,0.0618783691443322,-0.0047261322176511,-0.0031758079179347,1191,1384,1713,1825,1845,2016,2027,2031,2249,2451,2346,13.275427
field_1,2024-05-08,0.0817496229260935,0.0515895678659813,-0.03321105,0.0839572192513369,0.0587025612263974,-0.0022075963252433,-0.0071129933604161,1039,1220,1522,1623,1633,1748,1793,1868,2024,2314,2249,0.000348
field_1,2024-05-13,0.0830878020035356,0.0605592062878495,-0.0416457,0.0817496229260935,0.0515895678659813,0.0013381790774421,0.0089696384218681,1271,1404,1556,1697,1723,1864,1838,1901,2065,2239,2145,3.504587
field_1,2024-05-18,0.0817682750650101,0.0551936654054686,-0.0371443299999999,0.0830878020035356,0.0605592062878495,-0.0013195269385255,-0.0053655408823808,1145,1327,1589,1702,1729,1822,1872,1944,2050,2287,2258,0.000355
field_1,2024-05-23,0.0646227832882476,0.0390072208715845,-0.0342163399999999,0.0817682750650101,0.0551936654054686,-0.0171454917767624,-0.016186444533884,977,1289,1556,1674,1665,1781,1771,1882,1968,2311,2117,0.025355
field_1,2024-05-28,0.0909599776098516,0.0630798493847288,-0.0355256699999999,0.0646227832882476,0.0390072208715845,0.026337194321604,0.0240726285131442,1175,1362,1624,1689,1728,1869,1949,1867,2070,2359,2311,0.000677
field_1,2024-06-02,0.0859181992863025,0.0558808826679997,-0.0306558199999999,0.0909599776098516,0.0630798493847288,-0.0050417783235491,-0.0071989667167291,1062,1320,1665,1807,1810,1950,1978,2009,2264,2477,2324,1.413648
field_1,2024-06-07,0.070188679245283,0.0477576172543649,-0.0378524099999999,0.0859181992863025,0.0558808826679997,-0.0157295200410194,-0.0081232654136347,1148,1466,1848,1937,1894,2048,2127,2138,2290,2616,2502,17.127565
