field_id,date,NDVI,EVI,TCG,previous_ndvi,previous_evi,ndvi_change,evi_change,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,cloud_percentage
field_1,2024-02-23,0.10311165344722392,0.0614523108250609,-0.020739169999999977,,,,,917,1183,1470,1575,1489,1653,1808,1678,1848,1927,1836,0.000657
field_1,2024-02-28,0.09250302297460701,0.05825020939617753,-0.02841897,0.10311165344722392,0.0614523108250609,-0.010608630472616912,-0.003202101428883365,1024,1230,1501,1439,1570,1643,1807,1732,1756,1991,1962,0.000508
field_1,2024-03-04,0.12141652613827993,0.08045891380466368,-0.01941977999999997,0.09250302297460701,0.05825020939617753,0.028913503163672916,0.022208704408486143,1060,1285,1563,1569,1505,1788,1995,1753,1875,1989,1899,15.682623
field_1,2024-03-09,0.09866511897852583,0.06501701916089801,-0.02578738999999998,0.12141652613827993,0.08045891380466368,-0.0227514071597541,-0.015441894643765663,1085,1242,1553,1527,1695,1747,1893,1697,1883,1978,1886,2.003109
field_1,2024-03-14,0.11803588290840415,0.06503867633285929,-0.011804649999999993,0.09866511897852583,0.06501701916089801,0.019370763929878326,2.1657171961272925e-05,769,1047,1401,1470,1481,1588,1776,1675,1939,2044,1892,0.081241
field_1,2024-03-19,0.08065821418937145,0.05635342455426139,-0.03562219999999998,0.11803588290840415,0.06503867633285929,-0.0373776687190327,-0.008685251778597892,1195,1407,1704,1709,1709,1918,2003,1868,2051,2180,2116,0.000362
field_1,2024-04-08,0.08868335146898804,0.06187836914433223,-0.03398663999999997,0.08065821418937145,0.05635342455426139,0.008025137279616582,0.005524944590070836,1184,1373,1675,1778,1677,1836,2001,1928,2128,2302,2225,0.000368
field_1,2024-04-18,0.0839572192513369,0.05870256122639747,-0.03556274999999996,0.08868335146898804,0.06187836914433223,-0.004726132217651141,-0.0031758079179347587,1191,1384,1713,1825,1845,2016,2027,2031,2249,2451,2346,13.275427
field_1,2024-05-08,0.08174962292609352,0.051589567865981366,-0.033211050000000006,0.0839572192513369,0.05870256122639747,-0.00220759632524338,-0.007112993360416105,1039,1220,1522,1623,1633,1748,1793,1868,2024,2314,2249,0.000348
field_1,2024-05-13,0.08308780200353565,0.060559206287849505,-0.04164570000000001,0.08174962292609352,0.051589567865981366,0.001338179077442131,0.00896963842186814,1271,1404,1556,1697,1723,1864,1838,1901,2065,2239,2145,3.504587
field_1,2024-05-18,0.08176827506501011,0.05519366540546865,-0.03714432999999996,0.08308780200353565,0.060559206287849505,-0.0013195269385255365,-0.005365540882380858,1145,1327,1589,1702,1729,1822,1872,1944,2050,2287,2258,0.000355
field_1,2024-05-23,0.06462278328824766,0.039007220871584584,-0.03421633999999998,0.08176827506501011,0.05519366540546865,-0.017145491776762445,-0.016186444533884063,977,1289,1556,1674,1665,1781,1771,1882,1968,2311,2117,0.025355
field_1,2024-05-28,0.09095997760985167,0.06307984938472885,-0.03552566999999997,0.06462278328824766,0.039007220871584584,0.026337194321604,0.02407262851314427,1175,1362,1624,1689,1728,1869,1949,1867,2070,2359,2311,0.000677
field_1,2024-06-02,0.0859181992863025,0.0558808826679997,-0.030655819999999976,0.09095997760985167,0.06307984938472885,-0.00504177832354917,-0.007198966716729156,1062,1320,1665,1807,1810,1950,1978,2009,2264,2477,2324,1.413648
field_1,2024-06-07,0.07018867924528302,0.04775761725436491,-0.03785240999999996,0.0859181992863025,0.0558808826679997,-0.015729520041019476,-0.008123265413634784,1148,1466,1848,1937,1894,2048,2127,2138,2290,2616,2502,17.127565
