field_id,date,NDVI,EVI,TCG,valid,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
00000000000000000049,2019-01-01,,,,,,,,,,,,,,,
00000000000000000160,2019-01-01,,,,,,,,,,,,,,,
00000000000000001fb5,2019-01-01,,,,,,,,,,,,,,,
00000000000000001fbc,2019-01-01,,,,,,,,,,,,,,,
00000000000000001fe0,2019-01-01,,,,,,,,,,,,,,,
00000000000000001fe3,2019-01-01,,,,,,,,,,,,,,,
00000000000000001fdd,2019-01-01,,,,,,,,,,,,,,,
00000000000000000055,2019-01-01,0.4602190380932487,0.2150551691538397,0.0575896423415727,1.0,0.0365785210162613,0.0504926023290969,0.0641436723530717,0.0917513352319093,0.1262402826266068,0.1401098944817847,0.1749996442925484,0.1670614992286645,0.1589224640804603,0.1981791482836592,0.1568257579324292
00000000000000001d97,2019-01-01,,,,,,,,,,,,,,,
00000000000000001ea7,2019-01-01,,,,,,,,,,,,,,,
0000000000000000050b,2019-01-01,0.3278389232878529,0.154734129143444,0.024799096625456,1.0,0.0543751999701155,0.0625029253981452,0.0759458771133993,0.0986304514882887,0.1266208115291405,0.1317867045142152,0.1501771289201334,0.1517922232284191,0.1681672183776947,0.1964611719620037,0.1582624325132433
00000000000000001fe1,2019-01-01,,,,,,,,,,,,,,,
00000000000000002008,2019-01-01,,,,,,,,,,,,,,,
0000000000000000006c,2019-01-01,,,,0.0,,,,,,,,,,,
00000000000000000076,2019-01-01,,,,0.0,,,,,,,,,,,
00000000000000000077,2019-01-01,,,,,,,,,,,,,,,
000000000000000000a0,2019-01-01,0.2630536339960344,0.084752901449275,0.0056811696553504,1.0,0.0408192893694925,0.0439161104732193,0.0491219293667356,0.0591672942913458,0.0763729004558689,0.08417850149121,0.085597414423005,0.0892129314597696,0.1035469299993188,0.083238684267191,0.0793749991410957
000000000000000000dd,2019-01-01,,,,,,,,,,,,,,,
000000000000000000e3,2019-01-01,,,,0.0,,,,,,,,,,,
00000000000000000115,2019-01-01,0.397445278131989,0.1403333910614163,0.0268618641633541,0.9715359828141784,0.0386871750769758,0.0407192930126137,0.0476459917082616,0.0641167477316919,0.0772134908338552,0.0887639031695555,0.1099740734304295,0.1031030414882386,0.125009564024892,0.1156948034055922,0.087095024965131
00000000000000000126,2019-01-01,0.238742522057892,0.0942265515722155,0.0055790900159683,1.0,0.0533913042167179,0.058769405903423,0.0664134690299045,0.0776879129415794,0.0886580073615399,0.0950639973121003,0.1081032876719346,0.1057588019756914,0.1337023800039468,0.1077220560044587,0.0897234348167417
0000000000000000013f,2019-01-01,,,,,,,,,,,,,,,
0000000000000000016f,2019-01-01,,,,0.0,,,,,,,,,,,
0000000000000000017f,2019-01-01,,,,,,,,,,,,,,,
000000000000000001b0,2019-01-01,,,,,,,,,,,,,,,
000000000000000001c7,2019-01-01,,,,,,,,,,,,,,,
000000000000000001d4,2019-01-01,,,,,,,,,,,,,,,
000000000000000001f3,2019-01-01,,,,,,,,,,,,,,,
00000000000000000227,2019-01-01,,,,,,,,,,,,,,,
0000000000000000026b,2019-01-01,,,,,,,,,,,,,,,
00000000000000000279,2019-01-01,,,,,,,,,,,,,,,
00000000000000000284,2019-01-01,,,,,,,,,,,,,,,
000000000000000002ce,2019-01-01,,,,,,,,,,,,,,,
000000000000000002fc,2019-01-01,,,,,,,,,,,,,,,
00000000000000000309,2019-01-01,,,,,,,,,,,,,,,
00000000000000000344,2019-01-01,,,,,,,,,,,,,,,
0000000000000000035a,2019-01-01,,,,,,,,,,,,,,,
